000409.XSHE	2022-03-01	66.8473	7.5075	8.9478	234.2466
000410.XSHE	2022-03-01	-17.3175	107.9114	5.0977	-12.2683
000411.XSHE	2022-03-01	18.3161	1.79	0.1229	7.7429
000413.XSHE	2022-03-01	-3.2255	0.451	1.8442	-202.1963
000415.XSHE	2022-03-01	-3.295	0.5987	0.7316	-0.7513
000416.XSHE	2022-03-01	134.0094	2.4181	39.0689	-69.4423
000417.XSHE	2022-03-01	20.7081	0.8413	0.5553	20.8836
000419.XSHE	2022-03-01	20.3816	0.9436	1.2048	-18.9933
000420.XSHE	2022-03-01	-480.3219	3.4493	3.0345	198.3919
000421.XSHE	2022-03-01	-16.1356	1.0322	0.8652	3.5097
000422.XSHE	2022-03-01	11.9131	10.1106	0.9807	31.8618
000423.XSHE	2022-03-01	68.1137	2.5318	5.9356	14.6154
000425.XSHE	2022-03-01	7.3906	1.229	0.4718	316.5616
000426.XSHE	2022-03-01	75.2926	2.8231	7.8821	-203.7093
000428.XSHE	2022-03-01	-10.4383	2.0232	5.7444	393.4589
000429.XSHE	2022-03-01	9.1727	1.7364	2.9495	-43.4754
000430.XSHE	2022-03-01	-28.6226	1.7884	11.0925	-61.8406
000488.XSHE	2022-03-01	7.371	1.0381	0.6033	16.2224
000498.XSHE	2022-03-01	6.0767	0.9456	0.2249	4.7267
000501.XSHE	2022-03-01	9.175	0.7921	0.9673	5.6783
000502.XSHE	2022-03-01	-48.0829	5.8008	8.8101	-27.8363
000503.XSHE	2022-03-01	-54.9875	13.0884	47.542	-53.4214
000504.XSHE	2022-03-01	1520.9817	272.007	28.4753	-100.3528
000505.XSHE	2022-03-01	28.5947	1.9975	0.4983	19.4784
000506.XSHE	2022-03-01	-7.7152	7.045	3.7793	-107.4583
000507.XSHE	2022-03-01	14.4063	1.0454	0.9671	-4.914
000509.XSHE	2022-03-01	-849.7437	34.7199	16.2832	-36.8746
000510.XSHE	2022-03-01	17.2063	3.6277	1.4906	40.4813
