000422	2017-10-31	-1.7752	1.254	0.385	1.9746
000423	2017-10-31	22.3671	4.651	6.1491	46.5003
000425	2017-10-31	32.0911	1.2462	1.0001	9.1269
000426	2017-10-31	48.2962	3.708	10.7293	18.3695
000428	2017-10-31	-15.0827	1.7173	4.9161	46.9967
000429	2017-10-31	12.0103	2.0246	5.9056	8.5015
000430	2017-10-31	111.267	2.5244	6.9918	32.5251
000488	2017-10-31	10.772	2.097	1.2277	9.481
000498	2017-10-31	14.5043	2.2227	0.7288	8.0508
000501	2017-10-31	12.0351	2.0548	0.7685	8.6723
000502	2017-10-31	255.1408	14.3347	7.3079	15.2222
000503	2017-10-31	-542.7568	17.7892	123.4944	-175.1508
000504	2017-10-31	357.651	-401.1933	85.2694	-547.7206
000505	2017-10-31	37.5981	2.5955	8.671	-3.0883
000506	2017-10-31	-54.831	5.6539	9.0297	-254.7391
000507	2017-10-31	61.5116	2.9966	4.6734	33.0704
000509	2017-10-31	-94.7177	253.5164	3.3106	-177.6036
000510	2017-10-31	68.2863	6.577	3.1046	26.6275
000511	2017-10-31	-11.7225	6.063	3.631	87.735
000513	2017-10-31	8.0132	3.3428	4.1877	26.7339
000514	2017-10-31	34.2656	2.0579	6.5815	7.8586
000516	2017-10-31	53.2546	2.7951	2.5077	30.131
000517	2017-10-31	22.1591	3.2407	2.7612	-13.1913
000518	2017-10-31	271.0827	11.475	19.0846	-22.3218
000519	2017-10-31	120.3559	1.8783	3.2891	22.2673
000520	2017-10-31	108.1837	16.9677	6.1933	80.4144
000521	2017-10-31	34.1141	1.1613	0.3804	-8.4353
000523	2017-10-31	117.6175	2.732	0.4256	-6.6663
000524	2017-10-31	131.2902	3.3265	11.1864	19.27
000525	2017-10-31	20.4692	2.4399	3.0298	16.3405
000526	2017-10-31	6503.2364	33.8361	1.273	9.4552
000528	2017-10-31	31.0074	1.1038	0.9908	7.5474
000529	2017-10-31	37.8626	3.6172	2.3103	37.2538
000530	2017-10-31	30.7389	1.7	3.0002	-39.2335
000531	2017-10-31	21.8512	1.6358	2.0856	13.3315
000532	2017-10-31	112.2322	5.9515	11.0955	33.8254
000533	2017-10-31	30.1214	4.5019	1.153	-53.638
000534	2017-10-31	351.8501	5.255	17.8896	21.5855
000536	2017-10-31	89.1543	1.1712	3.1046	-26.2633
000537	2017-10-31	120.3525	11.339	5.3883	-47.6367
000538	2017-10-31	34.4955	6.2397	4.5245	76.9885
000539	2017-10-31	111.4985	1.1367	1.0311	6.7078
000540	2017-10-31	13.5776	2.1978	2.0901	-9.2282
000541	2017-10-31	7.9748	2.3832	3.1348	-85.0693
000543	2017-10-31	45.4778	0.9019	0.8289	8.7346
000544	2017-10-31	36.73	2.153	12.0927	26.3011
000545	2017-10-31	26.9288	2.7607	3.1482	85.8313
000546	2017-10-31	33.9442	3.463	3.3614	50.467
000547	2017-10-31	56.5181	2.9147	6.7273	522.8973
000548	2017-10-31	26.6469	2.2092	3.7543	83.9225
