,ticker,tradeDate,PE,PB,PS,PCF
0,000488,2017-10-09,13.1889,2.4119,1.4532,51.323
0,000498,2017-10-09,16.7204,2.5091,0.8928,8.495
0,000501,2017-10-09,12.371,2.1382,0.7821,9.4128
0,000502,2017-10-09,132.6161,12.4392,7.1814,15.3254
0,000503,2017-10-09,6040.5932,16.8464,112.6896,160.3991
0,000504,2017-10-09,273.9698,-902.8574,80.2239,1904.43
0,000505,2017-10-09,34.1341,57.1832,3.8774,175.3789
0,000506,2017-10-09,-62.6624,6.0772,11.542,-71.0566
0,000507,2017-10-09,61.7957,2.9792,4.5518,27.0611
0,000509,2017-10-09,-87.6973,199.4678,6.5999,-233.5507
0,000510,2017-10-09,71.4717,7.3147,3.6084,23.5195
0,000511,2017-10-09,-12.4106,5.7465,3.5816,-317.3117
0,000513,2017-10-09,33.9315,4.3509,3.6643,21.0308
0,000514,2017-10-09,39.469,2.1855,7.0319,9.8574
0,000516,2017-10-09,53.032,2.8118,2.5476,25.7021
0,000517,2017-10-09,22.6347,3.2789,2.7921,138.1113
0,000518,2017-10-09,267.5101,11.896,19.4056,-24.287
0,000519,2017-10-09,145.0373,2.1129,3.9256,24.1395
0,000520,2017-10-09,120.0726,18.6828,6.8232,101.5823
0,000521,2017-10-09,30.5171,1.2059,0.4354,10.3249
0,000523,2017-10-09,112.9622,2.7802,0.4651,-6.1738
0,000524,2017-10-09,224.7839,3.6161,16.4016,27.6112
0,000525,2017-10-09,30.6505,2.517,3.381,37.4466
0,000526,2017-10-09,257.7098,23.8649,1.2565,9.1975
0,000528,2017-10-09,36.8631,1.1301,1.1552,7.0155
0,000529,2017-10-09,42.7953,3.811,2.3289,26.935
0,000530,2017-10-09,30.8528,1.9227,3.2618,-60.5978
0,000531,2017-10-09,13.219,1.5573,1.9154,8.761
0,000532,2017-10-09,143.3027,6.6891,12.8707,46.8875
0,000533,2017-10-09,34.8588,4.4563,1.5669,53.7312
0,000534,2017-10-09,-1500.7843,5.3289,21.1821,18.52
0,000536,2017-10-09,237.0077,1.2678,3.5356,-13.6439
0,000537,2017-10-09,24.9195,3.0558,1.5078,-1.7294
0,000538,2017-10-09,30.5644,5.4742,3.9573,52.3894
0,000539,2017-10-09,83.9992,1.1885,1.1058,4.9146
0,000540,2017-10-09,12.8909,2.2295,1.8347,-12.2616
0,000541,2017-10-09,10.5942,2.4617,3.1885,-354.2698
0,000543,2017-10-09,31.6445,0.9499,0.8494,7.7843
0,000544,2017-10-09,32.2124,2.0943,11.6474,21.9673
0,000545,2017-10-09,33.4419,3.1724,3.8465,143.8348
0,000546,2017-10-09,34.4316,5.3966,4.6488,51.5894
0,000547,2017-10-09,64.4983,3.2222,7.864,94.1853
0,000548,2017-10-09,28.8477,2.3679,4.0612,-41.6448
0,000550,2017-10-09,16.2592,1.525,0.6023,7.0077
0,000551,2017-10-09,62.2669,2.2982,1.532,22.8431
0,000552,2017-10-09,21.7949,1.392,2.6587,18.6958
0,000553,2017-10-09,435.3071,15.5876,14.6486,76.5603
0,000554,2017-10-09,1240.9296,5.2707,1.7406,46.3118
0,000555,2017-10-09,63.3376,3.4396,1.9799,-40.8314
0,000557,2017-10-09,90.2558,2.0988,14.1793,59.3123
0,000558,2017-10-09,510.7198,6.4678,2.426,220.6065
0,000559,2017-10-09,42.6997,7.379,3.0816,26.7225
0,000560,2017-10-09,186.5108,3.3856,8.6096,107.8024
0,000561,2017-10-09,98.577,5.8437,5.8249,-692.238
0,000563,2017-10-09,32.8355,2.1219,16.8865,14.8749
0,000564,2017-10-09,55.545,1.3005,2.2125,15.7515
0,000565,2017-10-09,17.5771,4.0317,1.1205,21.1259
0,000566,2017-10-09,106.3204,3.2537,11.387,-978.6855
0,000567,2017-10-09,119.1554,18.4876,36.6846,-3.4743
0,000568,2017-10-09,36.0696,7.4105,9.0396,34.861
0,000570,2017-10-09,59.8123,1.7439,1.6558,87.7275
0,000571,2017-10-09,132.3907,2.6772,6.244,27.9052
0,000572,2017-10-09,121.4295,1.2914,0.7581,-6.6154
0,000573,2017-10-09,15.0876,2.1974,3.7211,14.5292
0,000576,2017-10-09,63.3705,5.8043,10.442,-93.6588
0,000581,2017-10-09,12.2572,1.8505,3.2351,36.6996
0,000582,2017-10-09,30.4677,2.2628,4.7605,14.4799
0,000584,2017-10-09,-27.073,5.8561,9.9767,105.4504
0,000585,2017-10-09,-43.2314,25.1718,98.5295,155.7228
0,000586,2017-10-09,3006.898,16.7178,8.6929,-95.2007
0,000587,2017-10-09,17.9871,1.8706,1.7588,13.155
0,000589,2017-10-09,59.0519,1.22,0.7147,-20.7303
0,000590,2017-10-09,66.4849,6.8632,12.1307,-38.375
0,000591,2017-10-09,22.393,1.5919,4.0999,16.6118
0,000592,2017-10-09,3006.496,3.5115,15.0955,-112.4808
0,000593,2017-10-09,-83.5608,3.9075,9.4124,-46.5726
0,000595,2017-10-09,-124.3058,5.9115,8.7562,-240.3504
0,000596,2017-10-09,34.4746,5.6104,4.9175,25.4689
0,000597,2017-10-09,89.3654,2.2908,1.0418,51.7181
0,000598,2017-10-09,20.1615,1.8711,5.1536,11.7482
0,000599,2017-10-09,46.0248,1.6906,0.9996,-10.1837
0,000600,2017-10-09,38.7125,1.9194,2.1402,14.1357
0,000601,2017-10-09,20.8688,1.8727,2.4557,9.776
0,000603,2017-10-09,46.0954,4.5695,14.1028,60.7424
0,000605,2017-10-09,114.2031,3.4496,6.1468,-90.482
0,000606,2017-10-09,-1694.1548,2.8319,16.2297,-786.6418
0,000607,2017-10-09,42.0842,4.7269,4.4738,44.1192
0,000608,2017-10-09,-14.8214,2.2032,7.8748,40.4544
0,000609,2017-10-09,36.5709,2.7276,12.6701,-61.2693
0,000610,2017-10-09,-12294.9963,3.982,4.1798,-29.8824
0,000611,2017-10-09,195.1597,5.2903,61.5885,6.3063
0,000612,2017-10-09,109.7232,2.7283,3.1266,-70.5863
0,000613,2017-10-09,-3255.5588,47.719,146.5679,798.1156
0,000615,2017-10-09,67.5143,6.4904,2.4953,20.7345
0,000616,2017-10-09,-16.34,1.6442,60.2188,-75.2064
0,000617,2017-10-09,24.946,2.2069,5.3205,-2.4209
0,000619,2017-10-09,156.9597,1.397,1.0707,19.3312
0,000620,2017-10-09,22.5812,2.2066,1.6838,10.8699
0,000622,2017-10-09,49.6849,13.0666,56.522,-87.452
0,000623,2017-10-09,15.1274,1.3577,9.5846,93.6273
0,000625,2017-10-09,7.4732,1.5601,0.9222,26.7986
0,000626,2017-10-09,31.1795,3.277,0.1078,48.7861
0,000627,2017-10-09,24.5657,2.8719,0.7826,2.8739
0,000628,2017-10-09,76.7404,4.2497,4.9906,14.7025
0,000629,2017-10-09,-5.5685,6.855,2.9431,-24.4503
0,000630,2017-10-09,86.3955,1.8864,0.3847,10.0978
0,000631,2017-10-09,22.567,1.7346,2.0959,4.4548
0,000632,2017-10-09,183.3473,2.6537,0.6897,2.7972
0,000633,2017-10-09,80.3964,18.7658,52.7164,-22.5481
0,000635,2017-10-09,38.034,1.8958,3.0571,18.603
0,000636,2017-10-09,51.2756,1.9432,2.8807,52.0753
0,000637,2017-10-09,32.9257,4.189,0.9132,16.5907
0,000638,2017-10-09,285.4878,15.2338,22.8299,2.0527
0,000639,2017-10-09,54.7978,4.9096,1.9492,-349.8893
0,000650,2017-10-09,20.4566,2.6147,2.02,14.412
0,000651,2017-10-09,12.7343,4.4839,1.8088,33.4007
0,000652,2017-10-09,27.7589,2.1566,0.4465,-8.3331
0,000655,2017-10-09,-13.2065,1.9122,5.8199,66.2276
0,000656,2017-10-09,22.5605,1.6355,0.9053,-65.457
0,000657,2017-10-09,138.2061,3.0512,1.6431,15.3803
0,000659,2017-10-09,-9.7601,9.9964,3.0934,17.4979
0,000661,2017-10-09,45.678,6.253,7.8558,137.5765
0,000662,2017-10-09,31.8374,2.8246,10.9699,-246.2308
0,000663,2017-10-09,42.6116,2.4465,3.6032,24.4965
0,000665,2017-10-09,24.8639,1.3329,3.036,8.959
0,000666,2017-10-09,19.1119,2.1148,1.4115,8.6979
0,000667,2017-10-09,12.5826,1.2959,1.7572,4.168
0,000668,2017-10-09,-102.5889,4.2172,173.7752,-61.1963
0,000669,2017-10-09,33.6143,1.8929,2.5956,10.7784
0,000670,2017-10-09,1072.4823,9.0899,19.6014,50.8738
0,000671,2017-10-09,21.4309,2.2145,1.2908,6.4985
0,000672,2017-10-09,22.3357,4.7677,2.4349,8.3051
0,000673,2017-10-09,54.8376,4.0118,8.1661,8178.2416
0,000676,2017-10-09,30.3134,2.8274,3.1887,-154.9733
0,000677,2017-10-09,622.2597,14.9141,7.8634,-136.5451
0,000678,2017-10-09,202.7831,3.0504,2.4922,-75.2225
0,000679,2017-10-09,24.1103,2.2941,1.586,-14.5134
0,000680,2017-10-09,82.7874,2.1589,1.2894,11.0866
0,000681,2017-10-09,54.7468,5.5009,15.6981,55.1723
0,000682,2017-10-09,83.47,3.098,2.1984,-2747.7937
0,000683,2017-10-09,-54.9941,1.5292,1.1677,19.1186
0,000685,2017-10-09,15.715,1.3792,10.7312,36.5371
0,000686,2017-10-09,23.387,1.5421,5.0102,-2.7723
0,000687,2017-10-09,101.648,7.8022,8.6423,-57.8333
0,000688,2017-10-09,30.0433,6.2213,9.8526,26.2923
