000001.XSHE	2017-10-19	8.735	1.0578	1.8659	-2.2477
000002.XSHE	2017-10-19	12.5172	2.7672	1.2211	9.9934
000004.XSHE	2017-10-19	64.4634	17.9217	9.7657	-42.7179
000005.XSHE	2017-10-19	-142.007	4.0508	10.3395	-82.9102
000006.XSHE	2017-10-19	14.3585	2.6533	3.0501	7.8492
000007.XSHE	2017-10-19	65.3816	14.7423	132.9235	122.46700000000001
000008.XSHE	2017-10-19	47.6275	4.1112	13.9513	165.9618
000009.XSHE	2017-10-19	74.1278	3.9758	2.7086	97.8594
000010.XSHE	2017-10-19	-170.6025	2.5161	7.1278	-27.8408
000011.XSHE	2017-10-19	15.1779	4.1245	3.66	83.9481
000012.XSHE	2017-10-19	26.5097	2.4364	1.9802	36.3874
000014.XSHE	2017-10-19	75.6755	4.4138	4.0641	-159.9189
000016.XSHE	2017-10-19	119.8577	4.6532	0.5901	-95.1979
000017.XSHE	2017-10-19	8949.3975	327.4868	33.1797	-1073.7985
000018.XSHE	2017-10-19	23.4623	6.8308	2.2085	15.165999999999999
000019.XSHE	2017-10-19	64.23899999999999	6.0881	23.0039	99.6208
000020.XSHE	2017-10-19	16251.4209	16.7251	7.1857	431.0336
000021.XSHE	2017-10-19	43.7037	2.3433	0.8644	-23.2846
000022.XSHE	2017-10-19	29.441	3.6686	8.2721	85.0659
000023.XSHE	2017-10-19	151.6594	8.1956	2.9328	25.4558
000025.XSHE	2017-10-19	386.5947	14.2896	40.1144	-1698.4119
000026.XSHE	2017-10-19	39.047	2.207	1.7162	-47.1045
000027.XSHE	2017-10-19	28.3364	1.178	2.0423	-19.0539
000028.XSHE	2017-10-19	27.7543	3.3929	0.7298	-1207.8187
000029.XSHE	2017-10-19	35.9843	4.0611	5.6915	-33.972
000030.XSHE	2017-10-19	14.4455	2.0451	1.6876	24.5534
000031.XSHE	2017-10-19	20.1346	2.5296	0.8839	-3.2498
000032.XSHE	2017-10-19	107.8692	3.5452	2.9499	101.6215
000034.XSHE	2017-10-19	39.7098	4.9663	0.2572	48.052
000035.XSHE	2017-10-19	42.8687	3.1669	7.7611	-1234.5895
000036.XSHE	2017-10-19	5.3936	2.8325	2.1569	-10.3962
000037.XSHE	2017-10-19	3.8310000000000004	2.6746	2.9357	-6.6272
000038.XSHE	2017-10-19	31.4312	1.994	6.9109	-6.2115
000039.XSHE	2017-10-19	31.6294	1.9603	0.8897	33.2737
000040.XSHE	2017-10-19	75.9779	1.6874	3.2847	-2.5217
000042.XSHE	2017-10-19	28.4633	1.8373	1.3619999999999999	3.0182
000043.XSHE	2017-10-19	381.0585	1.7132	1.1139	12.9231
000045.XSHE	2017-10-19	-128.78	2.3369	3.9706	15.612
000046.XSHE	2017-10-19	13.6004	2.332	2.3053	-3.4151
000048.XSHE	2017-10-19	-230.025	13.3788	6.2945	225.6577
000049.XSHE	2017-10-19	34.2453	8.3389	0.9797	-489.0739
000050.XSHE	2017-10-19	43.5854	2.32	2.7388	-15.002
000055.XSHE	2017-10-19	9.8456	3.7131	1.8705	20.242
000056.XSHE	2017-10-19	94.227	2.8074	32.0079	45.043
000058.XSHE	2017-10-19	186.7942	5.599	16.0661	-28.8341
000059.XSHE	2017-10-19	9.3343	1.4462	0.5096	8.4792
000060.XSHE	2017-10-19	32.3024	2.7801	1.4073	13.4307
000061.XSHE	2017-10-19	225.959	3.1107	6.9505	45.9726
