,code,day,pe_ratio,pb_ratio,ps_ratio,pcf_ratio
811,002347.XSHE,2017-09-29,397.7693,2.6881,8.9135,157.5461
812,002348.XSHE,2017-09-29,124.8786,5.0096,13.1263,214.7877
813,002349.XSHE,2017-09-29,41.6757,3.4181,7.2631,-46.1956
814,002350.XSHE,2017-09-29,82.5226,5.1791,3.08,168.51
815,002351.XSHE,2017-09-29,59.2866,3.7732,7.7861,-45.5228
816,002352.XSHE,2017-09-29,56.25,8.168,3.8158,30.944000000000003
817,002353.XSHE,2017-09-29,339.0347,1.8914,5.3106,469.8123
818,002354.XSHE,2017-09-29,21.180999999999997,2.2346,7.4851,20.2849
819,002355.XSHE,2017-09-29,102.99700000000001,3.141,4.1902,75.7678
820,002356.XSHE,2017-09-29,60.0671,4.6252,3.1578,226.8088
821,002357.XSHE,2017-09-29,32.6443,3.0256,2.7282,64.291
822,002358.XSHE,2017-09-29,36.9701,3.1666,4.8602,18.6194
823,002359.XSHE,2017-09-29,-558.8801,4.3322,20.4896,12.6968
824,002360.XSHE,2017-09-29,37.1576,3.2867,4.6384,-47.4141
825,002361.XSHE,2017-09-29,38.3503,3.1123,3.5235,-102.8604
826,002362.XSHE,2017-09-29,196.0297,7.8804,13.2522,99.2573
827,002363.XSHE,2017-09-29,58.8976,2.0056,2.3292,-119.4339
828,002364.XSHE,2017-09-29,71.8646,3.6983,10.0306,52.0433
829,002365.XSHE,2017-09-29,79.4271,6.3794,11.482000000000001,144.3438
830,002366.XSHE,2017-09-29,45.9275,11.5406,14.4811,-109.3509
831,002367.XSHE,2017-09-29,22.2486,2.3646,2.633,-2528.8708
832,002368.XSHE,2017-09-29,37.9545,4.9167,2.1572,81.2851
833,002369.XSHE,2017-09-29,595.5729,2.6016,2.0324,9.7791
834,002370.XSHE,2017-09-29,48.8377,3.5216,8.5516,13.8404
835,002371.XSHE,2017-09-29,130.064,4.2238,6.9510000000000005,31.3812
836,002372.XSHE,2017-09-29,23.6888,6.5153,4.8564,-133.1926
837,002373.XSHE,2017-09-29,42.4576,4.6854,6.5328,109.2615
838,002374.XSHE,2017-09-29,36.2934,1.8514,3.2685,27.1134
839,002375.XSHE,2017-09-29,36.8123,1.7155,1.3886,-188.4115
840,002376.XSHE,2017-09-29,28.5205,3.2666,4.5277,-33.1029
841,002377.XSHE,2017-09-29,725.2194,5.5875,6.2368,-148.9065
842,002378.XSHE,2017-09-29,162.5969,6.2353,6.8834,-129.6679
843,002379.XSHE,2017-09-29,178.0227,5.096,5.0463,17.6152
844,002380.XSHE,2017-09-29,51.2238,2.4195,8.648,-12.334000000000001
845,002381.XSHE,2017-09-29,59.3884,2.6293,3.9218,300.0464
846,002382.XSHE,2017-09-29,32.486999999999995,4.544,4.2046,74.9523
847,002383.XSHE,2017-09-29,83.6457,3.4194,8.1361,54.4828
848,002384.XSHE,2017-09-29,273.8875,4.169,2.5428,17.1559
849,002385.XSHE,2017-09-29,24.3044,2.6934,1.4166,24.986
850,002386.XSHE,2017-09-29,50.023,1.7964,0.578,643.5883
851,002387.XSHE,2017-09-29,-240.4919,12.4677,138.9981,7.38
852,002388.XSHE,2017-09-29,79.6058,3.9579,5.4931,7.3351
853,002389.XSHE,2017-09-29,159.6215,5.0771,13.3463,664.7202
854,002390.XSHE,2017-09-29,54.477,2.2184,2.6307,37.8952
855,002391.XSHE,2017-09-29,32.6717,1.9552,2.9825,-667.9337
856,002392.XSHE,2017-09-29,57.6132,2.8082,4.2767,305.4373
857,002393.XSHE,2017-09-29,52.6553,2.16,7.1783,246.9259
858,002394.XSHE,2017-09-29,11.6304,1.5551,1.1732,26.1049
859,002395.XSHE,2017-09-29,99.4164,3.2053,2.3354,-27.4509
860,002396.XSHE,2017-09-29,36.1095,3.2889999999999997,1.9384,-339.2505
861,002397.XSHE,2017-09-29,42.3229,3.4123,2.8022,64.6197
862,002398.XSHE,2017-09-29,31.1341,2.2431,3.0088,376.5312
863,002399.XSHE,2017-09-29,149.5607,2.8511,10.1077,-285.2704
864,002400.XSHE,2017-09-29,22.338,2.2678,1.1059999999999999,199.4649
865,002401.XSHE,2017-09-29,66.0274,5.0556,6.0843,41.6123
866,002402.XSHE,2017-09-29,51.8565,7.1749,5.0741,53.4486
867,002403.XSHE,2017-09-29,29.7787,2.1099,1.6056,-88.4633
868,002404.XSHE,2017-09-29,33.3571,3.1324,1.6386,4229.4893
869,002405.XSHE,2017-09-29,164.6744,5.0045,19.2701,20.3726
870,002406.XSHE,2017-09-29,32.9286,2.1505,3.6834,20.5104
871,002407.XSHE,2017-09-29,43.6332,6.1345,5.2674,28.7237
872,002408.XSHE,2017-09-29,31.5211,3.5648,2.6043,96.2935
873,002409.XSHE,2017-09-29,90.6009,4.6541,7.1559,19.518
874,002410.XSHE,2017-09-29,49.9725,8.279,10.5858,-3608.0483
875,002411.XSHE,2017-09-29,44.5952,4.8405,11.4048,82.6151
876,002412.XSHE,2017-09-29,56.1553,4.2274,5.9217,-36.9507
877,002413.XSHE,2017-09-29,114.0295,3.6192,19.4529,109.9931
878,002414.XSHE,2017-09-29,159.5705,3.9386,15.2557,59.2767
879,002415.XSHE,2017-09-29,36.4328,12.2827,8.2451,111.6385
880,002416.XSHE,2017-09-29,43.4492,2.1675,0.2249,5.5298
881,002417.XSHE,2017-09-29,-133.1119,10.8835,14.2992,24.7435
882,002418.XSHE,2017-09-29,72.475,5.1255,3.5862,125.179
883,002419.XSHE,2017-09-29,20.7223,2.2386,0.7179,-150.6892
884,002420.XSHE,2017-09-29,64.9421,1.703,0.442,21.8395
885,002421.XSHE,2017-09-29,45.9715,4.7823,5.2578,537.9587
886,002422.XSHE,2017-09-29,57.6985,2.2554,2.7877,-21.6128
887,002423.XSHE,2017-09-29,-153.0197,4.0319,7.6933,-61.2332
888,002424.XSHE,2017-09-29,48.5524,7.79,10.1366,-381.7407
889,002425.XSHE,2017-09-29,37.4341,2.2061,13.2163,-69.4439
890,002426.XSHE,2017-09-29,77.0198,3.0731,1.9176,11.2014
891,002427.XSHE,2017-09-29,47.9952,4.6503,3.1476,8.1003
892,002428.XSHE,2017-09-29,-122.5473,5.3182,31.4201,-6335.606
893,002429.XSHE,2017-09-29,32.0246,1.9266,1.8947,10.7891
894,002430.XSHE,2017-09-29,-89.0363,2.5774,2.0163,39.3133
895,002431.XSHE,2017-09-29,98.8146,2.8524,3.2952,20.7128
896,002432.XSHE,2017-09-29,446.4694,3.1481,8.1131,-152.0993
897,002433.XSHE,2017-09-29,26.3185,1.5078,2.1805,-42.3688
898,002434.XSHE,2017-09-29,28.2841,2.8676,3.4375,228.5333
899,002435.XSHE,2017-09-29,37.0515,1.7692,3.8499,18.6252
900,002436.XSHE,2017-09-29,41.6375,4.0557,2.9831,84.1735
901,002437.XSHE,2017-09-29,25.3508,3.6256,5.0994,35.848
902,002438.XSHE,2017-09-29,70.6466,2.2278,5.9586,21.9798
903,002439.XSHE,2017-09-29,76.5574,7.3971,9.7079,-2573.3318
904,002440.XSHE,2017-09-29,17.6586,2.181,2.7152,44.5283
905,002441.XSHE,2017-09-29,35.1563,1.8804,0.9077,-20.0909
906,002442.XSHE,2017-09-29,75.4002,5.4347,2.6806,162.8264
907,002443.XSHE,2017-09-29,99.3556,2.4153,1.589,151.44899999999998
908,002444.XSHE,2017-09-29,25.5528,2.8494,4.376,-24.201999999999998
909,002445.XSHE,2017-09-29,38.83,2.9469,7.8418,-142.0838
910,002446.XSHE,2017-09-29,84.8836,4.2378,9.6476,28.7518
911,002447.XSHE,2017-09-29,26.6662,3.1809,10.0041,128.3617
912,002448.XSHE,2017-09-29,25.844,2.7617,4.6187,107.2743
913,002449.XSHE,2017-09-29,36.4287,3.1013,3.0929,-20.8277
914,002450.XSHE,2017-09-29,32.7548,4.4963,6.9858,11.5253
915,002451.XSHE,2017-09-29,510.6369,23.3899,27.5114,304.1183
916,002452.XSHE,2017-09-29,30.2081,2.8436,2.6264,24.3359
917,002453.XSHE,2017-09-29,-14.0946,5.0005,3.3598,-40.1531
918,002454.XSHE,2017-09-29,26.1407,2.1511,1.7627,-62.8272
919,002455.XSHE,2017-09-29,56.0816,7.0282,2.7795,62.6384
920,002456.XSHE,2017-09-29,59.2446,6.7155,1.8652,-218.0708
921,002457.XSHE,2017-09-29,-240.0073,3.0504,5.9554,43.1928
922,002458.XSHE,2017-09-29,46.8362,5.7682,7.156000000000001,-98.14200000000001
923,002459.XSHE,2017-09-29,258.5186,4.1484,18.0737,27.5805
924,002460.XSHE,2017-09-29,80.1843,24.1826,20.3551,3357.2903
925,002461.XSHE,2017-09-29,93.4692,1.6745,3.5187,149.6386
926,002462.XSHE,2017-09-29,34.7334,4.1607,0.7003,-120.2181
927,002463.XSHE,2017-09-29,40.7135,2.4397,2.0259,75.5668
928,002464.XSHE,2017-09-29,36.2384,6.3351,22.2767,-205.3622
929,002465.XSHE,2017-09-29,56.4643,3.3547,6.3841,31.1287
930,002466.XSHE,2017-09-29,41.3756,12.6746,15.1497,60.9391
931,002467.XSHE,2017-09-29,-18.575,4.1975,9.1855,13.9304
932,002468.XSHE,2017-09-29,28.3156,6.5698,3.5980000000000003,11.4279
933,002469.XSHE,2017-09-29,236.4825,3.2883,6.7479,16.9334
934,002470.XSHE,2017-09-29,24.6082,2.7657,1.2313,8.2398
935,002471.XSHE,2017-09-29,71.1573,3.8695,1.1242,-34.8936
936,002472.XSHE,2017-09-29,34.065,2.4419999999999997,3.563,40.3593
937,002473.XSHE,2017-09-29,-72.8236,7.4056,25.9477,350.036
938,002474.XSHE,2017-09-29,230.5036,4.7957,9.242,-275.7745
939,002475.XSHE,2017-09-29,45.603,5.5643,3.7899,33.8375
940,002476.XSHE,2017-09-29,-93.7296,4.8439,7.0002,-44.3941
941,002477.XSHE,2017-09-29,15.7258,2.5423,2.3796,6.1434
942,002478.XSHE,2017-09-29,41.6916,1.8055,1.8093,29.7079
943,002479.XSHE,2017-09-29,28.6983,3.3474,2.968,-65.7719
944,002480.XSHE,2017-09-29,-486.7135,2.2597,4.0986,83.486
945,002481.XSHE,2017-09-29,240.5717,3.2004,4.6001,-197.7307
946,002482.XSHE,2017-09-29,30.5554,2.2535,1.2211,14.2336
947,002483.XSHE,2017-09-29,62.3481,1.7878,2.0624,56.5302
948,002484.XSHE,2017-09-29,47.6727,2.8061,5.9974,170.6766
949,002485.XSHE,2017-09-29,-185.1185,4.0769,11.3392,355.1217
950,002486.XSHE,2017-09-29,291.4031,6.6539,7.4403,-98.4601
951,002487.XSHE,2017-09-29,98.9939,1.8622,3.4189,789.0082
952,002488.XSHE,2017-09-29,-51.8349,2.0449,3.2808,3.5239
953,002489.XSHE,2017-09-29,165.8454,4.1277,3.2843,15.0112
954,002490.XSHE,2017-09-29,-8.792,2.21,2.0359,79.0778
955,002491.XSHE,2017-09-29,32.3171,4.2684,4.405,126.0948
956,002492.XSHE,2017-09-29,64.4295,2.9816,16.4489,-121.2542
957,002493.XSHE,2017-09-29,16.5494,2.8286,0.6111,-19.0998
958,002494.XSHE,2017-09-29,278.1569,2.4259,8.9774,59.6679
959,002495.XSHE,2017-09-29,161.5074,3.7185,14.5875,-6226.2227
960,002496.XSHE,2017-09-29,26.7269,2.2532,0.8163,-84.0674
961,002497.XSHE,2017-09-29,98.1544,7.2128,9.3775,153.3215
962,002498.XSHE,2017-09-29,32.0959,2.7568,2.7686,-12.0493
963,002499.XSHE,2017-09-29,96.8018,6.0423,4.7481,-71.735
964,002500.XSHE,2017-09-29,61.0342,2.6056,9.1037,-9.2059
965,002501.XSHE,2017-09-29,22.5304,1.702,4.5661,41.9341
966,002502.XSHE,2017-09-29,21.1686,2.3746,9.2022,169.0057
967,002503.XSHE,2017-09-29,38.6685,3.8281,1.9657,65.6475
968,002504.XSHE,2017-09-29,41.3686,7.1193,2.6714,-403.4716
969,002505.XSHE,2017-09-29,217.7879,3.0556,1.3537,-8.8766
970,002506.XSHE,2017-09-29,-111.4831,5.2321,1.8673,25.7302
971,002507.XSHE,2017-09-29,37.4654,6.9629,8.9835,-89.0247
972,002508.XSHE,2017-09-29,29.0187,9.1265,6.1998,131.8287
973,002509.XSHE,2017-09-29,48.6313,5.2521,8.3849,120.6669
974,002510.XSHE,2017-09-29,53.345,3.53,3.9803,1846.328
975,002511.XSHE,2017-09-29,34.0914,3.747,2.5481,126.2789
976,002512.XSHE,2017-09-29,134.4002,7.547000000000001,6.2877,-48.75
977,002513.XSHE,2017-09-29,39.0574,1.587,2.4918,31.2414
978,002514.XSHE,2017-09-29,-97.62700000000001,5.36,9.5399,113.6808
979,002515.XSHE,2017-09-29,450.3506,6.6945,35.7074,70.2891
980,002516.XSHE,2017-09-29,24.6214,2.1754,3.5434,45.0642
981,002517.XSHE,2017-09-29,30.6113,7.1516,9.5358,82.4865
982,002518.XSHE,2017-09-29,31.3005,4.9199,4.9857,29.901999999999997
983,002519.XSHE,2017-09-29,39.3503,2.6863,5.7865,124.4878
984,002520.XSHE,2017-09-29,109.75299999999999,3.391,6.6368,-830.9658
985,002521.XSHE,2017-09-29,32.1091,1.5217,1.6265,25.9837
986,002522.XSHE,2017-09-29,129.2353,6.9639,20.9772,63.4943
987,002523.XSHE,2017-09-29,54.945,3.3173,4.8494,333.0864
988,002524.XSHE,2017-09-29,-1207.5498,4.7864,6.985,30.1004
989,002526.XSHE,2017-09-29,88.125,2.3808,4.4575,82.8015
990,002527.XSHE,2017-09-29,38.5866,2.5186,2.0898,60.2034
991,002528.XSHE,2017-09-29,-17.6991,2.2405,2.6869,73.1559
992,002529.XSHE,2017-09-29,685.6521,3.2137,17.2082,-15.7658
993,002530.XSHE,2017-09-29,129.8321,4.0567,23.4006,17.5035
994,002531.XSHE,2017-09-29,25.3215,2.3783,4.2695,-244.3037
995,002532.XSHE,2017-09-29,28.1278,2.938,2.8635,1685.8499
996,002533.XSHE,2017-09-29,27.5907,2.0238,1.3144,18.4987
997,002534.XSHE,2017-09-29,27.0851,3.1458,2.5454,384.789
998,002535.XSHE,2017-09-29,171.6364,1.508,3.3059,43.3286
999,002536.XSHE,2017-09-29,34.9623,2.7699,2.2435,-93.6999
1000,002537.XSHE,2017-09-29,39.3793,2.074,4.2213,7.5757
1001,002538.XSHE,2017-09-29,30.6534,2.0014,2.6274,-17.154
1002,002539.XSHE,2017-09-29,74.2462,2.6676,1.1906,-87.3842
1003,002540.XSHE,2017-09-29,25.1653,2.503,2.4443,68.9612
1004,002541.XSHE,2017-09-29,36.3977,1.5212,1.5301,12.5785
1005,002542.XSHE,2017-09-29,75.0459,5.8953,8.3376,487.8435
1006,002543.XSHE,2017-09-29,20.3981,3.003,1.4980000000000002,-40.5339
1007,002544.XSHE,2017-09-29,108.0064,9.0052,4.0873,97.72200000000001
1008,002545.XSHE,2017-09-29,91.413,2.0067,7.6856,129.8115
1009,002546.XSHE,2017-09-29,58.0717,1.8481,9.886000000000001,-16.1624
1010,002547.XSHE,2017-09-29,87.4327,3.3719,3.7238,24.8855
1011,002548.XSHE,2017-09-29,31.1313,2.6205,1.4092,-211.8121
1012,002549.XSHE,2017-09-29,169.0477,5.8471,14.88,65.5823
1013,002550.XSHE,2017-09-29,34.6655,3.2618,8.4003,-79.6196
1014,002551.XSHE,2017-09-29,51.5274,3.6708,3.0806,-1639.8177
1015,002552.XSHE,2017-09-29,-23.3362,4.4685,17.8714,35.2074
1016,002553.XSHE,2017-09-29,50.3411,5.7669,10.7063,-115.524
1017,002554.XSHE,2017-09-29,52.5901,2.7193,4.3073,53.0132
1018,002555.XSHE,2017-09-29,33.3885,7.705,8.1209,55.2861
1019,002556.XSHE,2017-09-29,55.5669,2.6537,0.5059,446.4441
1020,002557.XSHE,2017-09-29,22.3921,2.5469999999999997,2.1322,498.2999
1021,002558.XSHE,2017-09-29,66.4259,10.622,31.4343,52.5794
1022,002559.XSHE,2017-09-29,34.0714,2.6302,3.1955,76.3412
1023,002560.XSHE,2017-09-29,70.5674,2.3267,2.0425,-16.3641
1024,002561.XSHE,2017-09-29,23.9494,2.7809,2.661,-57.3976
1025,002562.XSHE,2017-09-29,40.7948,5.5639,8.5992,55.3159
1026,002563.XSHE,2017-09-29,16.3917,2.4918,2.115,59.9963
1027,002564.XSHE,2017-09-29,-38.8666,2.7948,0.9451,-25.5982
1028,002565.XSHE,2017-09-29,65.4727,2.1391,2.3518,-286.3601
1029,002566.XSHE,2017-09-29,198.1036,1.9681,3.5418,-39.7351
1030,002567.XSHE,2017-09-29,24.6254,2.0573,0.5229,102.1773
1031,002568.XSHE,2017-09-29,169.9739,7.7011,12.6035,-32808.5156
1032,002569.XSHE,2017-09-29,4336.1929,14.8909,21.4679,-435.9327
1033,002570.XSHE,2017-09-29,-11.235999999999999,4.1669,3.9053,-42.8566
1034,002571.XSHE,2017-09-29,-890.2205,2.3501,4.1587,-22.6918
1035,002572.XSHE,2017-09-29,46.03,9.0442,6.5269,61.6932
1036,002573.XSHE,2017-09-29,29.6932,6.2087,6.0901,-96.5171
1037,002574.XSHE,2017-09-29,80.6364,1.5031,1.4293,42.2828
1038,002575.XSHE,2017-09-29,-480.935,5.9518,36.3096,466.89099999999996
1039,002576.XSHE,2017-09-29,140.4031,4.6949,4.1452,41.074
1040,002577.XSHE,2017-09-29,291.3711,5.084,9.9216,-49.4139
1041,002578.XSHE,2017-09-29,205.9723,3.3507,4.4597,21.0478
1042,002579.XSHE,2017-09-29,151.3539,3.9849,3.9391,38.2402
1043,002580.XSHE,2017-09-29,73.8967,2.7057,2.048,-1440.3353
1044,002581.XSHE,2017-09-29,33.4391,5.5795,11.8715,-275.9036
1045,002582.XSHE,2017-09-29,71.1545,2.0556,1.8587,10.8867
1046,002583.XSHE,2017-09-29,74.547,6.1363,7.227,176.609
1047,002584.XSHE,2017-09-29,119.0257,5.4598,2.6715,-1704.8066
1048,002585.XSHE,2017-09-29,64.0228,1.244,3.4062,15.1333
1049,002586.XSHE,2017-09-29,98.6378,2.5157,4.3578,23.9547
1050,002587.XSHE,2017-09-29,41.2623,4.6629,6.8491,19.5413
1051,002588.XSHE,2017-09-29,26.4023,2.1854,1.4872,-183.0648
1052,002589.XSHE,2017-09-29,24.3079,2.9449,1.1301,18.3376
1053,002590.XSHE,2017-09-29,54.2795,4.2739,3.2969999999999997,-21.0249
1054,002591.XSHE,2017-09-29,1059.7626,3.1179,23.8881,22.3019
1055,002592.XSHE,2017-09-29,52.8104,3.7739,8.8905,-13.6862
1056,002593.XSHE,2017-09-29,48.1609,2.1333,2.2683,80.225
1057,002594.XSHE,2017-09-29,41.2662,3.8544,1.7993,59.5515
1058,002595.XSHE,2017-09-29,22.0805,4.4362,5.5946,-123.9786
1059,002596.XSHE,2017-09-29,69.7734,4.5974,4.1761,701.2244
1060,002597.XSHE,2017-09-29,15.6343,4.5791,2.8762,148.2976
1061,002598.XSHE,2017-09-29,59.5752,5.1326,6.3417,261.6257
1062,002599.XSHE,2017-09-29,87.6236,3.1976,4.6435,19.4886
1063,002600.XSHE,2017-09-29,61.4096,3.7714,1.264,-230.8351
1064,002601.XSHE,2017-09-29,22.4737,2.9516,4.8034,45.2903
1065,002602.XSHE,2017-09-29,37.8144,6.401,9.4462,135.4964
1066,002603.XSHE,2017-09-29,33.8527,2.8639,4.8906,47.0571
1067,002604.XSHE,2017-09-29,49.3232,2.1197,5.7131,15.2112
1068,002605.XSHE,2017-09-29,58.7941,3.2018,7.5225,-50.0918
1069,002606.XSHE,2017-09-29,95.4438,9.8778,11.3363,-1497.1514
1070,002607.XSHE,2017-09-29,51.5909,2.0757,0.5865,-16.1227
1071,002608.XSHE,2017-09-29,25.456999999999997,2.3317,2.1516,28.3637
1072,002609.XSHE,2017-09-29,53.3801,4.9399,12.5262,10.5087
1073,002610.XSHE,2017-09-29,77.3441,2.032,2.9502,-10.17
1074,002611.XSHE,2017-09-29,92.6529,2.3156,8.7196,213.3866
1075,002612.XSHE,2017-09-29,30.5289,2.1718,2.813,26.0001
1076,002613.XSHE,2017-09-29,-325.7665,2.8693,4.7304,131.8376
1077,002614.XSHE,2017-09-29,33.629,3.702,2.5461,493.2336
1078,002615.XSHE,2017-09-29,24.9093,5.2531,2.6406,-39.1942
1079,002616.XSHE,2017-09-29,51.9615,3.8046,4.0767,121.6135
1080,002617.XSHE,2017-09-29,60.211000000000006,4.6654,4.8983,-29.1696
1081,002618.XSHE,2017-09-29,221.0089,3.4989,18.7247,-85.0968
1082,002619.XSHE,2017-09-29,39.0583,2.3058,15.937000000000001,45.8459
1083,002620.XSHE,2017-09-29,45.1142,2.5331,1.8681,-8.0619
1084,002621.XSHE,2017-09-29,900.0203,4.5134,60.6853,-33.8114
1085,002622.XSHE,2017-09-29,373.3558,10.6354,84.8842,63.9191
1086,002623.XSHE,2017-09-29,-782.4853,1.9306,2.895,200.3048
1087,002624.XSHE,2017-09-29,29.5922,5.5024,5.6431,69.7713
1088,002625.XSHE,2017-09-29,485.9861,6.1515,112.0127,6.8346
1089,002626.XSHE,2017-09-29,28.959,4.2477,5.2476,137.0854
1090,002627.XSHE,2017-09-29,44.5599,2.7489,1.295,170.2819
1091,002628.XSHE,2017-09-29,133.2915,2.2163,3.3422,23.5017
1092,002629.XSHE,2017-09-29,76.0652,5.1282,1.9877,-79.928
1093,002630.XSHE,2017-09-29,47.1929,2.5366,2.1083,28.0023
1094,002631.XSHE,2017-09-29,49.5771,6.4501,7.4568,435.18800000000005
1095,002632.XSHE,2017-09-29,72.8442,3.7289,10.1747,574.7847
1096,002633.XSHE,2017-09-29,-133.8981,4.2132,14.7228,-266.0732
1097,002634.XSHE,2017-09-29,82.8768,5.1837,8.3608,-38.5758
1098,002635.XSHE,2017-09-29,74.1475,4.6862,16.282,108.9408
1099,002636.XSHE,2017-09-29,23.6062,6.4229,3.6037,104.5749
1100,002637.XSHE,2017-09-29,33.6697,2.5613,0.8914,85.3579
1101,002638.XSHE,2017-09-29,-32.3304,2.3951,9.7996,13.1833
1102,002639.XSHE,2017-09-29,169.9253,3.1141,8.088,-20.5944
1103,002640.XSHE,2017-09-29,60.6826,7.3872,3.1299,46.6695
1104,002641.XSHE,2017-09-29,38.9786,2.3729,1.4629,269.8152
1105,002642.XSHE,2017-09-29,61.9857,3.1439,7.8846,747.7335
1106,002643.XSHE,2017-09-29,33.5053,2.9674,5.2347,46.1548
1107,002644.XSHE,2017-09-29,76.2383,3.745,12.2648,-174.2232
1108,002645.XSHE,2017-09-29,55.9251,2.4543,3.4258,45.8305
1109,002646.XSHE,2017-09-29,47.4788,3.2675,5.9302,171.3726
1110,002647.XSHE,2017-09-29,89.0738,13.7083,27.5658,-91.2954
1111,002648.XSHE,2017-09-29,22.1459,2.5653,2.399,40.4502
1112,002649.XSHE,2017-09-29,50.2302,2.9696,2.7467,30.3467
1113,002650.XSHE,2017-09-29,44.4277,3.3569,3.5392,4304.2754
1114,002651.XSHE,2017-09-29,87.8732,5.0774,18.3633,146.4318
1115,002652.XSHE,2017-09-29,42.2531,5.9573,1.7833,37.7883
1116,002653.XSHE,2017-09-29,38.0429,7.0508,8.3723,114.5754
1117,002654.XSHE,2017-09-29,47.6865,2.9294,3.2819,-37.4156
1118,002655.XSHE,2017-09-29,213.1981,4.9246,4.2484,384.5246
1119,002656.XSHE,2017-09-29,-59.6026,3.9243,10.9099,29.2509
1120,002657.XSHE,2017-09-29,55.1589,3.5022,7.7475,-21.8823
1121,002658.XSHE,2017-09-29,45.6359,5.2806,8.7967,110.0372
1122,002659.XSHE,2017-09-29,-62.4179,3.2616,19.4665,96.1019
1123,002660.XSHE,2017-09-29,-783.1814,3.6508,2.0139,-103.5932
1124,002661.XSHE,2017-09-29,34.8908,2.3612,2.2259,25.8655
1125,002662.XSHE,2017-09-29,19.5268,2.5295,2.2694,43.7719
1126,002663.XSHE,2017-09-29,76.9538,2.101,2.9999,-320.8579
1127,002664.XSHE,2017-09-29,48.2912,6.5168,5.6864,-154.9677
1128,002665.XSHE,2017-09-29,130.6127,2.8401,16.1565,-73.9162
1129,002666.XSHE,2017-09-29,34.8544,1.6514,1.7337,-100.2728
1130,002667.XSHE,2017-09-29,-4932.9307,3.2274,20.0506,-16.2129
1131,002668.XSHE,2017-09-29,39.5421,3.9188,2.1776,27.6072
1132,002669.XSHE,2017-09-29,94.1834,4.1442,12.3624,14.720999999999998
1133,002670.XSHE,2017-09-29,52.8996,2.4925,12.7176,-9.1427
1134,002671.XSHE,2017-09-29,-110.618,2.0824,6.0364,364.2265
1135,002672.XSHE,2017-09-29,26.2874,4.1639,5.0525,61.7329
1136,002673.XSHE,2017-09-29,56.0928,3.1627,17.4265,-33.6585
1137,002674.XSHE,2017-09-29,46.9902,1.5666,1.4880000000000002,7.3597
1138,002675.XSHE,2017-09-29,59.4367,3.1387,6.412000000000001,53.7578
1139,002676.XSHE,2017-09-29,718.1538,10.5411,7.8727,-97.7414
1140,002677.XSHE,2017-09-29,44.2769,9.8357,13.0786,-35.535
1141,002678.XSHE,2017-09-29,77.7916,4.02,7.4273,910.9525
1142,002679.XSHE,2017-09-29,134.9128,4.4131,25.8456,-188.028
1143,002680.XSHE,2017-09-29,26.5057,4.1976,11.0784,-7.858
1144,002681.XSHE,2017-09-29,48.0698,3.8071,8.3286,113.8693
1145,002682.XSHE,2017-09-29,59.5206,1.8954,1.6239,23.8
1146,002683.XSHE,2017-09-29,46.8226,2.2312,1.7482,30.25
1147,002684.XSHE,2017-09-29,93.8331,4.1893,3.9846,9.7025
1148,002685.XSHE,2017-09-29,233.7314,6.0416,2.4956,922.5195
1149,002686.XSHE,2017-09-29,45.5891,3.9675,4.8517,-123.7847
1150,002687.XSHE,2017-09-29,44.2053,2.758,3.9362,35.4021
1151,002688.XSHE,2017-09-29,33.6459,3.3499,3.4287,-33.1707
1152,002689.XSHE,2017-09-29,87.3402,4.2024,5.1005,-183.2257
1153,002690.XSHE,2017-09-29,36.4768,6.1578,12.4246,56.0155
1154,002691.XSHE,2017-09-29,814.1151,6.4878,21.9135,112.8585
1155,002692.XSHE,2017-09-29,118.4386,4.8608,2.9952,-139.2929
1156,002693.XSHE,2017-09-29,-7.4148,5.0616,17.1825,-79.8468
1157,002694.XSHE,2017-09-29,344.1694,13.2798,7.8552,25.4203
1158,002695.XSHE,2017-09-29,83.6614,6.0715,7.6857,88.9001
1159,002696.XSHE,2017-09-29,77.9377,2.2227,2.2434,-23.1204
1160,002697.XSHE,2017-09-29,57.9085,3.6168,1.2189,-82.3221
1161,002698.XSHE,2017-09-29,63.941,4.2962,11.5984,628.3979
1162,002699.XSHE,2017-09-29,71.1852,5.0039,21.4929,-351.4722
1163,002700.XSHE,2017-09-29,58.8255,4.9159,13.4405,25.2851
1164,002701.XSHE,2017-09-29,15.9976,2.7718,2.0413,11.1983
1165,002702.XSHE,2017-09-29,-250.9479,4.4477,3.8099,-84.0178
1166,002703.XSHE,2017-09-29,143.482,6.3659,8.0196,-423.5539
1167,002705.XSHE,2017-09-29,22.9135,3.1398,1.4225,7.1658
1168,002706.XSHE,2017-09-29,32.6916,4.0452,4.7177,-53.9839
1169,002707.XSHE,2017-09-29,48.2206,5.9587,1.0583,59.3238
1170,002708.XSHE,2017-09-29,91.5755,2.7252,2.9873,-362.884
1171,002709.XSHE,2017-09-29,47.7549,7.7559,9.217,2482.6084
1172,002711.XSHE,2017-09-29,37.387,8.2704,2.8882,-227.7554
1173,002712.XSHE,2017-09-29,32.0873,2.8989999999999996,1.8404,72.5534
1174,002713.XSHE,2017-09-29,30.4418,6.3941,1.6187,20.2159
1175,002714.XSHE,2017-09-29,17.5301,5.1671,5.6863,45.7543
1176,002715.XSHE,2017-09-29,186.9969,6.57,9.7304,129.127
1177,002716.XSHE,2017-09-29,60.2507,3.2382,1.2619,23.6267
