,code,day,pe_ratio,pb_ratio,ps_ratio,pcf_ratio
83,000410.XSHE,2017-09-29,-4.6772,41.7707,1.2745,-18.2335
84,000411.XSHE,2017-09-29,51.4157,5.7202,0.2524,6.2733
85,000413.XSHE,2017-09-29,42.0508,2.4846,6.4569,9.0398
86,000415.XSHE,2017-09-29,15.9306,1.3337,1.274,37.9219
87,000416.XSHE,2017-09-29,121.3004,4.8326,18.8534,-75.2822
88,000417.XSHE,2017-09-29,26.7916,2.036,0.7417,24.0601
89,000418.XSHE,2017-09-29,21.6973,4.612,1.5205,24.4264
90,000419.XSHE,2017-09-29,35.2619,1.9347,0.9618,61.7251
91,000420.XSHE,2017-09-29,84.1644,2.5076,3.8114,-14.3207
92,000421.XSHE,2017-09-29,28.5113,1.7158,1.0832,5.2797
93,000422.XSHE,2017-09-29,-4.5009,1.0978,0.4026,-4.3394
94,000423.XSHE,2017-09-29,22.0602,5.2639,6.4565,368.1341
95,000425.XSHE,2017-09-29,40.8123,1.2332,1.1119,-78.3865
96,000426.XSHE,2017-09-29,74.1998,4.1057,14.3583,-87.6328
97,000428.XSHE,2017-09-29,-16.5773,1.7662,5.1662,-158.6485
98,000429.XSHE,2017-09-29,12.9079,2.1322,6.1117,19.5042
99,000430.XSHE,2017-09-29,66.264,2.8169,7.4126,32.8992
100,000488.XSHE,2017-09-29,13.2294,2.4194,1.4577,-33.1366
101,000498.XSHE,2017-09-29,16.6197,2.4939,0.8874,10.8133
102,000501.XSHE,2017-09-29,12.370999999999999,2.1382,0.7821,-38.8179
103,000502.XSHE,2017-09-29,131.5924,12.3432,7.1259,-91.2029
104,000503.XSHE,2017-09-29,6040.5933,16.8464,112.6896,110.9194
105,000504.XSHE,2017-09-29,273.9698,-902.8574,80.2239,70.0668
106,000505.XSHE,2017-09-29,32.7415,54.8502,3.7193,228.8387
107,000506.XSHE,2017-09-29,-62.6623,6.0772,11.542,-3446.3464
108,000507.XSHE,2017-09-29,61.3712,2.9588,4.5206,-37.3714
109,000509.XSHE,2017-09-29,-87.6973,199.4678,6.5999,105.2579
110,000510.XSHE,2017-09-29,70.3383,7.1987,3.5512,523.8508
111,000511.XSHE,2017-09-29,-12.4106,5.7465,3.5816,-12512.1504
112,000513.XSHE,2017-09-29,31.8993,4.2213,3.4449,15.6329
113,000514.XSHE,2017-09-29,39.0584,2.1628,6.9588,8.1535
114,000516.XSHE,2017-09-29,52.6201,2.8364,2.5278,750.7260000000001
115,000517.XSHE,2017-09-29,22.4226,3.2482,2.766,11.4844
116,000518.XSHE,2017-09-29,266.4256,11.8478,19.327,-27761.625
117,000519.XSHE,2017-09-29,145.8213,2.1243,3.9468,9.4113
118,000520.XSHE,2017-09-29,119.1595,18.5407,6.7713,58.901
119,000521.XSHE,2017-09-29,30.1556,1.1916,0.4303,8.1713
120,000523.XSHE,2017-09-29,111.0637,2.7495,0.4573,126.2864
121,000524.XSHE,2017-09-29,223.0912,3.5889,16.2781,6.1601
122,000525.XSHE,2017-09-29,30.2633,2.5728,3.3383,-111.9095
123,000526.XSHE,2017-09-29,253.4958,23.4747,1.236,-5.83
124,000528.XSHE,2017-09-29,36.1722,1.1089,1.1335,-5.8231
125,000529.XSHE,2017-09-29,42.2778,3.7649,2.3007,21.1656
126,000530.XSHE,2017-09-29,30.313000000000002,1.8891,3.2047,-12.6427
127,000531.XSHE,2017-09-29,13.0524,1.5377,1.8913,61.3657
128,000532.XSHE,2017-09-29,143.4068,6.895,12.8801,-21.3376
129,000533.XSHE,2017-09-29,35.1283,4.5895,1.579,-67.1851
130,000534.XSHE,2017-09-29,-1521.9504,5.404,21.4809,24.4745
131,000536.XSHE,2017-09-29,229.7647,1.2291,3.4276,6.1921
132,000537.XSHE,2017-09-29,24.245,3.0135,1.4669999999999999,-22.5215
133,000538.XSHE,2017-09-29,30.5005,5.7393,3.949,796.6448
134,000539.XSHE,2017-09-29,83.3567,1.1794,1.0973,-22.4935
135,000540.XSHE,2017-09-29,12.8909,2.3729,1.8347,8.3823
136,000541.XSHE,2017-09-29,10.5128,2.4428,3.1639999999999997,333.8696
137,000543.XSHE,2017-09-29,31.3609,0.9414,0.8418,-30.456999999999997
138,000544.XSHE,2017-09-29,31.5366,2.0504,11.4031,16.0816
139,000545.XSHE,2017-09-29,32.9042,3.1214,3.7847,115.6486
140,000546.XSHE,2017-09-29,32.4993,3.1767,4.3879,58.5842
141,000547.XSHE,2017-09-29,65.3721,3.2659,7.9706,-17.473
142,000548.XSHE,2017-09-29,28.6291,2.3857,4.0305,-32.2294
143,000550.XSHE,2017-09-29,15.312000000000001,1.4997,0.5672,17.7177
144,000551.XSHE,2017-09-29,61.4753,2.269,1.5125,18.5135
145,000552.XSHE,2017-09-29,21.7411,1.3886,2.6521,28.7691
146,000553.XSHE,2017-09-29,432.2198,1.6307,14.5447,216.3116
147,000554.XSHE,2017-09-29,1205.0861,5.1184,1.6903,172.7866
148,000555.XSHE,2017-09-29,63.3376,3.4396,1.9799,-5252.7539
149,000557.XSHE,2017-09-29,89.7807,2.0877,14.1046,-179.1978
150,000558.XSHE,2017-09-29,505.2866,6.399,2.4002,104.7144
151,000559.XSHE,2017-09-29,41.9713,7.2531,3.029,-19.2717
152,000560.XSHE,2017-09-29,186.5108,3.4005,8.6096,24.2909
153,000561.XSHE,2017-09-29,100.072,5.6232,5.9132,-44.1863
154,000563.XSHE,2017-09-29,32.4645,2.0979,16.6957,-31.1078
155,000564.XSHE,2017-09-29,55.0291,1.2942,2.1919999999999997,6.2042
156,000565.XSHE,2017-09-29,17.3694,3.984,1.1072,15.7093
157,000566.XSHE,2017-09-29,106.2387,3.3778,11.3782,6.9859
158,000567.XSHE,2017-09-29,120.6184,18.7145,37.135,-99.7357
159,000568.XSHE,2017-09-29,35.8905,5.8281,8.9947,-93.4914
160,000570.XSHE,2017-09-29,59.5617,1.7365,1.6489,-732.822
161,000571.XSHE,2017-09-29,131.6642,2.6922,6.2097,164.3809
162,000572.XSHE,2017-09-29,110.3344,1.1734,0.6889,-5.2991
163,000573.XSHE,2017-09-29,14.9125,2.1719,3.6779,25.8998
164,000576.XSHE,2017-09-29,63.7493,5.8389999999999995,10.5044,45.3408
165,000581.XSHE,2017-09-29,11.9822,1.8932,3.1625,45.4468
166,000582.XSHE,2017-09-29,30.2108,2.2437,4.7204,239.477
167,000584.XSHE,2017-09-29,-27.2373,5.8917,10.0373,-1251.8215
168,000585.XSHE,2017-09-29,-43.2314,25.1718,98.5295,-133.3238
169,000586.XSHE,2017-09-29,2981.6797,16.5776,8.62,256.4529
170,000587.XSHE,2017-09-29,17.7321,1.8781,1.7339,23.1593
171,000589.XSHE,2017-09-29,57.9022,1.1963,0.7007,-3.1875
172,000590.XSHE,2017-09-29,66.9455,6.9107,12.2148,15.5994
173,000591.XSHE,2017-09-29,22.2109,1.5789,4.0666,-14.6021
174,000592.XSHE,2017-09-29,3006.4961,3.5115,15.0955,114.3677
175,000593.XSHE,2017-09-29,-81.9157,3.8306,9.2271,-34.0005
176,000595.XSHE,2017-09-29,-122.4008,5.4791,8.622,70.5462
177,000596.XSHE,2017-09-29,32.8907,5.3526,4.6916,-76.5236
178,000597.XSHE,2017-09-29,88.736,2.2746,1.0345,-61.3563
179,000598.XSHE,2017-09-29,19.9178,1.8484,5.0913,222.3423
180,000599.XSHE,2017-09-29,45.9565,1.6966,0.9981,-9.8176
181,000600.XSHE,2017-09-29,38.6116,1.9144,2.1347,27.4763
182,000601.XSHE,2017-09-29,20.8132,1.9657,2.4492,-257.6067
183,000603.XSHE,2017-09-29,44.6711,4.4283,13.6671,36.0136
184,000605.XSHE,2017-09-29,116.0388,3.505,6.2456,35.874
185,000606.XSHE,2017-09-29,-1694.1547,2.8319,16.2297,14.2835
186,000607.XSHE,2017-09-29,41.8322,4.7579,4.447,-80.5723
187,000608.XSHE,2017-09-29,-14.8214,2.2032,7.8748,29.2337
188,000609.XSHE,2017-09-29,35.8866,2.7272,12.433,246.4897
189,000610.XSHE,2017-09-29,-12378.3838,4.0089999999999995,4.2082,20.5474
190,000611.XSHE,2017-09-29,196.9501,5.3388,62.1535,6.3827
191,000612.XSHE,2017-09-29,109.2066,2.7155,3.1119,-6.9686
192,000613.XSHE,2017-09-29,-3298.051,48.3418,148.4809,-2139.5012
